Question Number,Question Text,Schema,Status,Ownership,User,Relationship,Data source,None
Q1,"""For what purpose was the dataset created?""",4,1,2,7,11,6,13
Q2,"""Are there tasks for which the dataset should not be used?""",4,5,2,1,4,0,25
Q3,"""Who created the dataset?""",0,0,22,8,4,5,5
Q4,"""Who was involved in the data creation process?""",0,0,23,6,4,1,11
Q5,"""How can the owner/curator/manager of the dataset be contacted?""",0,1,25,7,6,0,4
Q6,"""What are the privacy and legal constraints on the accessibility of the dataset?""",1,2,11,5,1,2,20
Q7,"""Is there an access control list for the dataset?""",0,2,17,6,4,4,3
Q8,"""What is the reputation of the creator of a dataset?""",1,3,10,10,0,1,14
Q9,"""What do the instances of the dataset represent?""",10,3,2,3,7,4,7
Q10,"""What is the size of the dataset?""",4,2,1,2,5,11,19
Q11,"""Are there errors in the dataset?""",20,7,1,0,3,4,10
Q12,"""Does the dataset have missing values?""",14,5,1,2,2,3,15
Q13,"""What is the domain of the values in this dataset?""",6,5,2,5,5,6,8
Q14,"""If the dataset is a sample of a larger dataset, what was the sampling strategy?""",3,1,0,2,19,6,8
Q15,"""Does the dataset contain personally identifiable information (PII)?""",1,0,8,10,3,4,15
Q16,"""What is the quality of the dataset?""",5,10,0,0,6,3,14
Q17,"""Was any preprocessing/cleaning/labeling of the dataset done?""",2,8,2,1,8,5,13
Q18,"""Was data collection randomized? Could it be biased in any way?""",4,4,3,1,3,8,17
Q19,"""Is there anything about dataset preprocessing/cleaning that could impact future uses?""",5,5,1,2,5,2,15
Q20,"""What is the dataset’s release date?""",2,4,1,1,12,5,17
Q21,"""Is there an expiration date for this dataset?""",1,12,0,5,5,0,18
Q22,"""How often will the dataset be updated?""",3,5,0,2,13,2,20
Q23,"""When was the data last modified?""",0,5,1,2,31,2,4
Q24,"""How easy is it to download and explore this dataset?""",4,1,4,0,2,18,15
Q25,"""What is the format of the dataset, and what type of repository is the dataset located in?""",5,0,1,3,6,23,1
Q26,"""What is the provenance of this dataset?""",0,4,1,1,12,9,15
Q27,"""What other datasets exist in this repository that are related to this dataset?""",3,3,1,2,24,3,5
