Question Number,Question Text,Data Asset,Source Type,Project,Entry Group,Table Schema,Tags,GCS Fileset Metadata,None
Q1,"""For what purpose was the dataset created?""",9,3,10,2,2,1,3,11
Q2,"""Are there tasks for which the dataset should not be used?""",5,2,3,3,3,2,5,17
Q3,"""Who created the dataset?""",8,3,6,4,2,2,2,14
Q4,"""Who was involved in the data creation process?""",9,5,9,2,2,3,2,8
Q5,"""How can the owner/curator/manager of the dataset be contacted?""",3,5,13,1,0,3,2,13
Q6,"""What are the privacy and legal constraints on the accessibility of the dataset?""",6,1,1,4,1,6,2,18
Q7,"""Is there an access control list for the dataset?""",2,1,15,9,1,0,1,5
Q8,"""What is the reputation of the creator of a dataset?""",1,2,1,2,1,3,1,27
Q9,"""What do the instances of the dataset represent?""",5,4,2,5,3,2,7,4
Q10,"""What is the size of the dataset?""",6,8,5,2,5,0,4,11
Q11,"""Are there errors in the dataset?""",2,1,1,2,2,0,5,27
Q12,"""Does the dataset have missing values?""",6,2,1,5,0,3,2,20
Q13,"""What is the domain of the values in this dataset?""",6,3,1,4,4,4,6,7
Q14,"""If the dataset is a sample of a larger dataset, what was the sampling strategy?""",3,6,1,3,7,1,8,9
Q15,"""Does the dataset contain personally identifiable information (PII)?""",7,0,10,3,2,4,2,12
Q16,"""What is the quality of the dataset?""",1,4,1,2,4,1,6,20
Q17,"""Was any preprocessing/cleaning/labeling of the dataset done?""",5,0,1,6,3,2,4,15
Q18,"""Was data collection randomized? Could it be biased in any way?""",2,1,1,5,3,2,7,19
Q19,"""Is there anything about dataset preprocessing/cleaning that could impact future uses?""",2,2,1,3,1,3,5,18
Q20,"""What is the dataset’s release date?""",22,0,2,1,2,2,1,4
Q21,"""Is there an expiration date for this dataset?""",31,1,0,2,1,0,0,5
Q22,"""How often will the dataset be updated?""",13,2,1,3,1,1,2,17
Q23,"""When was the data last modified?""",27,0,1,3,1,0,1,8
Q24,"""How easy is it to download and explore this dataset?""",4,17,0,2,4,1,4,8
Q25,"""What is the format of the dataset, and what type of repository is the dataset located in?""",1,18,4,0,3,0,9,1
Q26,"""What is the provenance of this dataset?""",7,7,0,0,2,0,6,12
Q27,"""What other datasets exist in this repository that are related to this dataset?""",0,8,5,4,1,2,10,10
