Question Number,Question Text,Who-profile,What-profile,When-profile,Where-profile,Why-profile,How-profile,Relationships,None
Q1,"""For what purpose was the dataset created?""",0,2,0,1,26,1,2,1
Q2,"""Are there tasks for which the dataset should not be used?""",0,1,2,1,14,0,1,12
Q3,"""Who created the dataset?""",27,1,1,0,1,1,0,1
Q4,"""Who was involved in the data creation process?""",23,0,4,0,0,2,0,2
Q5,"""How can the owner/curator/manager of the dataset be contacted?""",18,0,2,0,0,5,4,4
Q6,"""What are the privacy and legal constraints on the accessibility of the dataset?""",7,4,0,3,4,5,1,7
Q7,"""Is there an access control list for the dataset?""",14,1,2,5,1,1,1,4
Q8,"""What is the reputation of the creator of a dataset?""",17,2,0,0,0,3,0,7
Q9,"""What do the instances of the dataset represent?""",1,12,3,2,0,1,1,6
Q10,"""What is the size of the dataset?""",3,12,0,3,0,5,0,10
Q11,"""Are there errors in the dataset?""",0,8,1,2,1,2,0,18
Q12,"""Does the dataset have missing values?""",1,8,2,2,0,4,2,12
Q13,"""What is the domain of the values in this dataset?""",0,11,1,6,2,3,0,4
Q14,"""If the dataset is a sample of a larger dataset, what was the sampling strategy?""",0,5,2,1,2,14,4,1
Q15,"""Does the dataset contain personally identifiable information (PII)?""",7,11,0,0,1,4,2,6
Q16,"""What is the quality of the dataset?""",2,6,2,0,0,8,3,11
Q17,"""Was any preprocessing/cleaning/labeling of the dataset done?""",1,1,2,3,0,14,2,7
Q18,"""Was data collection randomized? Could it be biased in any way?""",1,3,1,2,1,14,2,9
Q19,"""Is there anything about dataset preprocessing/cleaning that could impact future uses?""",2,1,5,0,3,7,4,9
Q20,"""What is the dataset’s release date?""",0,4,20,0,1,2,2,1
Q21,"""Is there an expiration date for this dataset?""",0,1,23,2,1,0,2,2
Q22,"""How often will the dataset be updated?""",0,1,17,0,2,5,2,5
Q23,"""When was the data last modified?""",1,0,28,0,0,1,1,2
Q24,"""How easy is it to download and explore this dataset?""",2,1,0,11,0,3,3,11
Q25,"""What is the format of the dataset, and what type of repository is the dataset located in?""",3,4,0,13,1,5,1,3
Q26,"""What is the provenance of this dataset?""",3,4,2,5,2,4,2,8
Q27,"""What other datasets exist in this repository that are related to this dataset?""",0,2,2,1,1,3,20,2
