"","Schema","Status","Ownership","User","Relationship","Data source","None"
"Q46.1_1",4,1,2,7,11,6,13
"Q46.1_2",10,3,2,3,7,4,7
"Q46.1_3",0,0,22,8,4,5,5
"Q46.1_4",1,2,11,5,1,2,20
"Q46.1_5",4,4,3,1,3,8,17
"Q46.1_6",0,5,1,2,31,2,4
"Q78.1_1",0,2,17,6,4,4,3
"Q78.1_2",1,3,10,10,0,1,14
"Q78.1_3",4,2,1,2,5,11,19
"Q78.1_4",20,7,1,0,3,4,10
"Q78.1_5",14,5,1,2,2,3,15
"Q78.1_6",4,5,2,1,4,0,25
"Q79.1_1",3,1,0,2,19,6,8
"Q79.1_2",6,5,2,5,5,6,8
"Q79.1_3",5,10,0,0,6,3,14
"Q79.1_4",2,8,2,1,8,5,13
"Q79.1_5",0,0,23,6,4,1,11
"Q79.1_6",2,4,1,1,12,5,17
"Q80.1_1",5,5,1,2,5,2,15
"Q80.1_2",1,12,0,5,5,0,18
"Q80.1_3",1,0,8,10,3,4,15
"Q80.1_4",3,5,0,2,13,2,20
"Q80.1_5",4,1,4,0,2,18,15
"Q80.1_6",0,1,25,7,6,0,4
"Q81.1_1",5,0,1,3,6,23,1
"Q81.1_2",0,4,1,1,12,9,15
"Q81.1_3",3,3,1,2,24,3,5
